,ASV,lfc,se,new_name,Genus,newname2,df
1,fb5c2aa7e7a97d1ba29b2c9405cb6a41,-1.06171942,0.84238394,ASV 4,Enterobacteriaceae,ASV 4  -  Enterobacteriaceae,chitinase
2,24051ef88d0304b64d9d8f9b863126e6,-0.870310456,0.719308957,ASV 26,Shinella,ASV 26  -  Shinella,chitinase
3,912f795ef3617aeb65ff9ad69b9567a8,0.637823291,0.274027079,ASV 34,Stenotrophomonas,ASV 34  -  Stenotrophomonas,chitinase
4,86b092aefa12a97f8ff02f3d84807586,0.691259378,0.740599109,ASV 18,Clostridium,ASV 18  -  Clostridium,chitinase
5,e67b78aab8cb557736519f911b315dd3,0.707619256,0.319287638,ASV 30 ,Pelosinus,ASV 30   -  Pelosinus,chitinase
6,dcba105f35d8ebc9e22269c7491ad3a7,0.866311252,0.411964985,ASV 9,Stenotrophomonas,ASV 9  -  Stenotrophomonas,chitinase
7,1253c7a4636562f33ebc360882fa65da,0.899431195,0.727720569,ASV 22,Chitinophaga,ASV 22  -  Chitinophaga,chitinase
8,d007cee006889a1090c2d5bfb35a1953,1.316780975,0.476061548,ASV 8 ,Aquitalea,ASV 8   -  Aquitalea,chitinase
9,3d5baff45729bf2214074c2e9f77ad10,1.633950537,1.275117762,ASV 6,Acinetobacter,ASV 6  -  Acinetobacter,chitinase
10,f0613d40b7c48dc84869fcdb278cb465,1.968871165,1.329351196,ASV 75,0319-6G20,ASV 75  -  0319-6G20,chitinase
11,3cd9ce63f826137d18ca1a11155a21ad,-0.548176527,0.9872493,ASV 66,Leifsonia,ASV 66  -  Leifsonia,protease
12,6c0c84518abe719cc7c4af67f51b577e,-0.386965772,0.188802652,ASV 83,Stenotrophomonas,ASV 83  -  Stenotrophomonas,protease
13,0d9b1e16151fb1c5d9a227fbc6f286ef,-0.008572201,0.750584571,ASV 41,Chitinibacter,ASV 41  -  Chitinibacter,protease
14,4605b879a4aa457b76cf5eb5fbab39c9,0.376140059,1.025996687,ASV 15,Sedimentibacter,ASV 15  -  Sedimentibacter,protease
15,1583d8af9fd9cb078f88c0e1a8b8a888,0.491479918,0.788655593,ASV 106,Ancylobacter,ASV 106  -  Ancylobacter,protease
16,6b6d7fd145bfcc5558795c8dd6064f04,0.529515415,0.181862052,ASV 102,Clostridium,ASV 102  -  Clostridium,protease
17,e67b78aab8cb557736519f911b315dd3,0.707619256,0.319287638,ASV 30 ,Pelosinus,ASV 30   -  Pelosinus,protease
18,4473ac847f597164696bc96da74ca753,0.846524331,0.763020262,ASV 78,Bosea,ASV 78  -  Bosea,protease