,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
Pyruvic acid methyl ester,1.807,2.013,2.053,1.694,1.812,1.981,1.245,1.572,1.541,1.424,1.587,1.734,1.695,2.062,2.079,2.2,2.304,2.364,1.262,2.006,2.027,1.467,1.924,1.909,1.311,1.81,1.843,1.58,1.756,1.678,1.704,2.006,1.075,1.213,0.491,1.15,1.122,0.56,1.165,1.596,0.977,1.007,1.067,0.767,1.669,1.816,1.495,1.74
Tween 40,0.796,1.131,1.22,0.825,1.386,1.545,1.146,1.583,1.146,1.053,1.454,1.132,0.853,1.271,1.346,1.209,1.322,1.582,1.355,1.265,1.466,1.457,1.303,1.497,1.177,1.561,1.426,0.869,1.48,1.245,1.092,1.367,0.193,0.034,0.06,0.682,0.221,-0.143,1.475,1.26,0.147,0.093,0.094,0.046,0.794,0.904,0.301,0.723
Tween 80,0.683,1.211,1.205,0.791,1.538,1.618,1.434,1.648,1.079,0.852,1.353,1.292,1.031,1.713,1.714,1.104,1.585,1.726,1.465,1.606,1.491,1.389,1.344,1.333,1.119,1.079,1.309,1.007,1.16,1.316,1.227,1.382,0.031,0.219,-0.199,0.173,0.059,-0.245,0.16,0.447,0.146,0.227,0.208,-0.24,0.976,1.233,0.525,0.928
Alpha-cyclodextrin,0.074,0.481,0.453,0.17,0.547,0.64,0.282,0.476,0.432,0.253,0.575,0.545,0.546,0.851,0.893,0.499,0.654,0.696,-0.005,0.198,0.734,0.327,0.631,0.597,0.123,0.21,0.252,0.082,0.379,0.511,0.23,0.433,-0.072,-0.013,-0.139,-0.079,0.004,-0.236,-0.087,0.247,-0.053,-0.008,0.096,-0.123,0.328,0.179,0.007,-0.098
Glycogen,0.653,0.895,0.883,0.569,0.845,0.956,1.183,1.048,0.77,0.519,0.653,0.66,0.81,0.771,0.768,0.834,0.808,0.753,0.505,0.59,0.805,0.577,0.685,0.672,0.609,0.608,0.743,0.584,0.647,0.715,0.83,0.846,0.212,0.224,-0.262,0.189,0.305,0.13,-0.023,0.147,-0.12,0.126,0.216,-0.158,1.141,0.935,0.232,0.378
D-Cellobiose,2.42,2.498,2.497,2.385,2.79,2.542,2.357,2.607,2.389,2.51,2.583,2.527,2.752,3,2.802,2.552,1.939,1.967,1.747,1.623,1.684,1.757,1.783,1.648,2.075,1.917,2.181,2.102,2.184,2.163,1.937,2.069,1.886,1.95,1.384,2.06,1.716,1.615,2.367,2.465,2.13,2.078,2.097,2.01,2.482,2.439,1.902,2.119
alpha-D-Lactose,1.203,1.4,1.455,1.191,1.43,1.468,1.046,1.298,1.646,1.523,1.732,1.812,1.518,1.955,1.996,1.606,1.199,1.377,1.142,1.147,1.177,1.09,1.171,1.104,1.313,1.369,2.332,1.31,1.395,1.525,1.388,1.518,1.221,1.313,0.848,1.551,1.408,0.959,1.717,1.739,1.293,1.557,1.95,1.122,1.333,1.207,0.908,0.958
Beta-Methyl-D-Glucoside,2.548,2.694,2.643,2.524,2.763,2.77,2.365,2.54,2.126,2.415,2.679,2.643,2.741,2.708,2.811,2.624,2.8,2.827,2.682,2.991,2.647,2.58,2.536,2.605,2.459,2.744,2.975,2.407,2.727,2.915,2.643,2.624,2.289,2.368,1.798,2.005,1.918,1.898,2.369,2.442,2.036,2.226,2.017,1.922,2.287,2.484,1.929,2.326
D-Xylose,1.138,0.76,0.779,0.507,0.856,0.829,0.708,1.002,0.777,0.897,1.054,0.86,1.274,1.48,1.214,1.359,0.891,0.894,0.556,0.683,0.64,0.523,0.72,0.774,0.55,0.763,0.79,0.671,0.911,1.021,2.069,1.141,0.6,0.434,0.569,0.725,0.643,0.247,0.825,0.643,0.467,0.574,0.647,0.506,0.775,0.741,0.403,0.529
I-Erythritol,0.342,0.406,0.352,0.165,0.316,0.42,0.188,0.317,0.27,0.236,0.346,0.322,0.251,0.391,0.393,0.225,0.333,0.481,0.04,0.087,0.179,0.034,0.132,0.109,0.174,0.275,0.157,0.164,0.182,0.216,0.103,0.105,-0.059,-0.031,0.133,0.467,-0.152,-0.375,0.211,0.92,-0.187,0.256,0.081,-0.433,0.253,0.311,0.017,0.127
D-Mannitol,0.833,0.96,0.972,0.837,1.066,1.074,0.866,1.047,0.951,0.946,1.145,1.085,1.092,1.202,1.248,1.135,1.109,1.152,0.879,1.072,1.089,0.892,1.082,1.055,0.978,1.268,1.215,1.019,1.319,1.261,1.311,1.284,1.159,0.917,0.693,1.12,1.201,1.012,0.948,0.964,0.803,1.101,1.238,0.608,1.193,0.909,0.733,0.895
N-Acetyl-D-Glucosamine,2.408,2.675,2.768,2.324,2.504,2.814,2.132,2.252,2.487,2.373,2.437,2.578,2.532,2.7,2.903,2.507,2.742,2.979,2.414,2.789,2.899,2.37,2.405,2.672,2.206,2.386,2.718,2.238,2.51,2.716,2.448,2.511,2.152,2.499,1.476,1.973,1.922,1.492,2.036,1.626,1.93,2.025,2.189,1.689,2.186,2.322,1.836,1.909
D-Glucosaminic acid,0.459,0.449,0.497,0.431,0.684,0.816,0.572,0.792,0.534,0.56,0.648,0.64,0.595,0.728,0.835,0.781,1.181,1.422,0.599,0.694,0.907,0.732,0.828,0.847,0.608,0.679,0.747,0.563,0.771,0.752,0.79,0.937,0.108,0.163,-0.543,0.064,0.763,0.36,1.572,0.126,0.23,0.42,1.255,0.576,0.318,0.385,0.213,0.326
Glucose-1-phosphate,0.961,1.037,1.139,1.054,0.997,1.193,1.204,1.014,1.257,1.452,1.366,1.391,1.601,1.414,1.692,1.508,1.2,1.442,0.899,0.898,1.018,0.823,0.912,0.91,1.011,1,1.176,1.204,1.123,1.182,1.295,1.103,0.851,1.147,1.464,1.661,1.68,1.558,1.205,1.46,1.33,1.624,1.876,1.676,0.961,1.039,0.709,0.649
"D,L-alpha-glycerol phosphate",0.875,0.762,0.964,0.831,0.853,1.038,0.924,0.892,0.963,0.977,0.845,0.947,0.831,0.894,1.055,0.986,0.995,0.978,0.733,0.805,0.863,0.675,0.842,0.883,0.778,0.726,0.966,0.949,0.526,0.694,0.904,0.459,0.618,0.671,0.256,0.479,0.841,0.72,0.73,1.041,0.683,0.52,0.9,0.785,0.847,0.885,0.519,0.541
D-Galactonic acid gamma-Lactone,1.534,1.917,1.817,1.445,1.559,1.728,1.421,1.682,1.241,1.119,1.224,1.013,1.208,1.33,1.221,1.509,1.446,1.55,1.049,1.234,1.234,0.985,1.184,1.302,0.89,1.159,1.12,0.861,1.035,1.063,1.118,1.3,1.137,1.006,-0.231,-0.119,1.066,1.129,-0.066,0.019,1.317,0.157,0.896,0.705,2.165,1.978,1.784,1.832
D-Galacturonic acid,2.236,2.582,2.385,1.939,2.219,2.02,1.43,1.825,1.754,1.819,2.241,1.897,2.045,2.239,2.116,2.582,2.708,2.459,2.358,2.298,2.091,1.914,2.17,2.151,1.94,2.262,2.125,1.991,2.217,2.14,2.168,2.039,1.918,1.758,1.232,1.732,1.604,1.557,2.344,1.996,1.478,1.447,1.896,1.53,1.898,1.969,1.69,1.897
2-Hydroxy benzoic acid,-0.32,-0.192,-0.179,-0.282,-0.159,-0.143,-0.226,-0.124,-0.08,-0.173,-0.07,-0.086,-0.246,-0.121,-0.126,-0.252,-0.199,-0.115,-0.349,-0.233,-0.278,-0.346,-0.332,-0.294,-0.307,-0.234,-0.224,-0.287,-0.3,-0.275,-0.351,-0.285,-0.511,-0.467,-1.069,-0.613,-0.733,-1.023,-0.372,-0.315,-0.473,-0.274,-0.303,-0.833,-0.368,-0.343,-0.561,-0.426
4-Hydroxy benzoic acid,0.437,0.571,0.572,0.464,0.659,0.737,0.563,0.689,0.623,0.567,0.655,0.608,0.555,0.621,0.667,0.518,1.041,1.055,0.736,0.813,0.848,0.702,0.927,0.769,0.772,0.958,0.999,0.829,0.836,0.692,0.969,0.795,0.115,0.124,-0.76,-0.325,-0.02,-0.222,-0.297,-0.122,-0.244,-0.241,-0.245,-0.678,0.636,0.546,0.413,0.501
gamma-Hydroxybutyric acid,0.554,0.694,0.746,0.522,0.783,0.735,0.596,0.788,0.738,0.612,0.767,0.719,0.652,0.799,0.779,0.612,0.826,0.806,0.573,0.791,0.789,0.669,0.76,0.701,0.645,0.813,0.837,0.643,0.72,0.768,0.667,0.808,0.243,0.278,-0.044,0.426,0.313,-0.002,0.643,0.058,0.113,0.303,0.178,-0.244,0.693,0.723,0.462,0.644
Itaconic acid,0.385,0.643,0.571,0.407,0.744,0.618,0.473,0.686,0.601,0.518,0.676,0.593,0.467,0.686,0.644,0.417,0.792,0.866,0.556,0.819,0.727,0.591,0.698,0.659,0.551,0.631,0.626,0.601,0.771,0.689,0.581,0.719,-0.059,0.116,-0.848,-0.473,0.057,-0.356,-0.208,-0.005,0.269,0.255,0.162,-0.347,0.783,0.723,0.457,0.7
alpha-Ketobutyric acid,0.02,0.363,0.425,0.015,0.462,0.526,0.208,0.42,0.174,0.032,0.163,0.153,0.083,0.323,0.333,0.167,0.284,0.371,-0.096,0.132,0.406,0.205,0.282,0.419,-0.113,-0.013,0.062,-0.053,0.116,0.187,-0.014,0.261,-0.429,-0.194,-1.046,-0.589,-0.393,-0.728,-0.327,-0.275,-0.437,-0.257,-0.273,-0.799,0.164,0.083,-0.251,-0.144
D-Malic acid,1.216,1.219,1.199,1.296,1.187,1.344,1.211,1.187,1.052,1.226,1.082,1.129,1.208,1.166,1.15,1.36,1.972,2.29,1.874,1.976,1.766,1.667,1.708,1.606,1.496,1.738,1.926,1.519,1.733,1.523,1.776,1.703,0.194,0.27,0.372,0.701,0.613,0.404,0.866,0.257,0.561,0.578,0.767,0.314,1.178,1.169,0.713,0.815
L-Arginine,0.388,0.452,0.506,0.337,0.47,0.523,0.385,0.461,0.45,0.492,0.549,0.529,0.396,0.469,0.505,0.404,0.499,0.577,0.357,0.376,0.365,0.368,0.444,0.363,0.34,0.306,0.38,0.364,0.372,0.357,0.378,0.448,0.129,0.116,0.188,0.209,-0.136,-0.438,0.114,0.475,-0.034,0.237,0.806,-0.012,0.249,0.233,0.077,0.189
L-Asparagine,1.05,1.126,1.202,1.054,1.187,1.165,1.119,1.265,1.02,1.043,1.147,1.159,1.102,1.175,1.128,1.025,1.344,1.18,1.101,1.213,1.27,1.148,1.627,1.226,1.231,1.274,1.255,1.194,1.218,1.062,1.334,1.269,0.639,0.354,0.135,0.626,0.635,0.335,0.767,0.55,0.572,0.22,0.536,-0.19,1.038,1.094,0.839,0.916
L-Phenylalanine,0.299,0.393,0.429,0.243,0.359,0.493,0.278,0.417,0.268,0.386,0.47,0.264,0.332,0.474,0.53,0.363,0.666,0.429,0.163,0.225,0.413,0.324,0.398,0.41,0.443,0.503,0.404,0.364,0.323,0.296,0.442,0.421,-0.069,-0.115,-0.421,-0.041,-0.203,-0.369,0.076,0.201,-0.069,0.118,0.312,-0.317,0.309,0.299,0.168,0.229
L-Serine,0.811,1.046,0.939,0.907,1.094,1.207,0.962,1.073,0.911,1.052,1.101,0.976,1.151,1.302,1.304,1.002,0.782,0.856,0.832,0.884,0.772,0.844,0.711,0.709,0.654,0.779,0.741,0.877,0.881,0.824,0.931,1.052,0.355,0.288,0.187,0.603,0.563,0.396,0.631,0.818,0.314,0.058,0.434,-0.289,0.889,1.081,0.636,0.746
L-Threonine,-0.027,0.071,0.118,-0.035,0.133,0.127,0.082,0.222,0.128,0.052,0.154,0.138,0.001,0.073,0.071,0.043,0.093,0.059,-0.008,0.05,-0.023,0.043,0.206,-0.064,-0.069,-0.017,0,-0.001,-0.051,-0.001,0.038,0.045,-0.125,0.029,-0.538,-0.101,-0.191,-0.294,0.018,0.244,-0.175,-0.005,0.259,-0.337,-0.015,-0.083,-0.2,-0.104
Glycyl-L-glutamic acid,0.273,0.435,0.431,0.279,0.494,0.449,0.397,0.551,0.387,0.37,0.444,0.427,0.435,0.543,0.386,0.65,0.457,0.433,0.19,0.307,0.502,0.33,0.534,0.463,0.172,0.261,0.292,0.168,0.308,0.359,0.362,0.43,0.322,0.195,-0.459,0.263,0.384,0.029,0.186,0.643,0.108,0.259,0.528,-0.178,0.325,0.091,0.031,0
Phenylethylamine,0.399,0.415,0.333,0.401,0.339,0.285,0.363,0.325,0.348,0.43,0.44,0.317,0.393,0.373,0.341,0.411,0.5,0.337,0.362,0.606,0.136,0.235,0.12,0.12,0.364,0.272,0.198,0.27,0.162,0.196,0.315,0.367,-0.137,-0.157,-0.683,-0.242,-0.427,-0.354,-0.102,-0.035,-0.103,-0.068,0.205,-0.484,0.227,0.007,0.134,0.201
Putrescine,0.491,0.563,0.535,0.494,0.633,0.543,0.524,0.641,0.539,0.545,0.737,0.652,0.517,0.669,0.583,0.544,0.743,0.65,0.538,0.632,0.46,0.43,0.56,0.472,0.533,0.647,0.544,0.556,0.597,0.505,0.603,0.639,0.13,0.136,0.08,0.512,0.207,-0.159,0.685,1.055,-0.135,0.421,0.682,-0.02,0.489,0.464,0.249,0.374